period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
2,162,918.0,1610612745,HOU,possible_missing_sub_out,203500,Steven Adams,123.0,Sengun P.FOUL (P1.T1) (P.Ransom),false,false,"[203500, 1630224, 1630256, 1631106]"
2,164,923.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,Whitmore REBOUND (Off:0 Def:2),false,false,"[203500, 1630224, 1630256, 1631106]"
2,165,932.0,1610612745,HOU,missing_sub_in,1641708,Amen Thompson,,Thompson 21' Jump Shot (7 PTS) (Whitmore 1 AST),false,false,"[203500, 1630224, 1630256, 1631106]"
2,169,944.0,1610612742,DAL,sub_direction_inverted,1631108,Max Christie,,SUB: Dinwiddie FOR Christie,false,true,"[202691, 1629023, 1629655, 1631108]"
2,170,944.0,1610612742,DAL,possible_missing_sub_out,1631108,Max Christie,214.0,Irving Free Throw 2 of 2 (2 PTS),false,false,"[202691, 1629023, 1629655, 1631108]"
2,166,944.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard S.FOUL (P1.T2) (J.Schroeder),false,false,"[203500, 1630224, 1630256, 1631106]"
2,171,962.0,1610612745,HOU,possible_missing_sub_out,1630256,Jae'Sean Tate,123.0,Washington S.FOUL (P1.PN) (J.Schroeder),false,false,"[203500, 1630224, 1630256, 1631106]"
2,174,962.0,1610612745,HOU,sub_direction_inverted,1641715,Cam Whitmore,,SUB: Brooks FOR Whitmore,false,true,"[203500, 1630224, 1630256, 1631106, 1641715]"
2,175,962.0,1610612745,HOU,sub_direction_inverted,1631106,Tari Eason,,SUB: Ja. Green FOR Eason,false,true,"[203500, 1630256, 1631106, 1641715]"
2,177,978.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,MISS Davis 9' Turnaround Jump Shot,false,false,"[202691, 1629023, 1629655, 1631108]"
2,178,980.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard REBOUND (Off:2 Def:1),false,false,"[203500, 1630256, 1631106, 1641715]"
2,179,985.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,Sheppard 14' Running Pull-Up Jump Shot (3 PTS),false,false,"[203500, 1630256, 1631106, 1641715]"
2,180,1006.0,1610612745,HOU,possible_missing_sub_out,1631106,Tari Eason,129.0,Thompson 2' Driving Layup (11 PTS),false,false,"[203500, 1630256, 1631106, 1641715]"
2,181,1018.0,1610612742,DAL,possible_missing_sub_out,1629655,Daniel Gafford,128.0,MISS Ja. Green 3' Driving Layup,false,false,"[202691, 1629023, 1629655, 1631108]"
2,181,1018.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,MISS Ja. Green 3' Driving Layup,false,false,"[203500, 1630256, 1631106, 1641715]"
2,183,1025.0,1610612742,DAL,missing_sub_in,203915,Spencer Dinwiddie,,Dinwiddie 3PT Jump Shot (3 PTS) (Thompson 1 AST),false,false,"[202691, 1629023, 1629655, 1631108]"
2,184,1045.0,1610612745,HOU,possible_missing_sub_out,1641715,Cam Whitmore,122.0,Thompson P.FOUL (P2.PN) (B.Forte),false,false,"[203500, 1630256, 1631106, 1641715]"
2,192,1070.0,1610612742,DAL,missing_sub_in,202681,Kyrie Irving,,Irving REBOUND (Off:1 Def:0),false,false,"[202691, 1629023, 1629655, 1631108]"
2,194,1076.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis REBOUND (Off:2 Def:7),false,false,"[202691, 1629023, 1629655, 1631108]"
2,195,1077.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis 1' Putback Dunk (16 PTS),false,false,"[202691, 1629023, 1629655, 1631108]"
2,196,1103.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,MISS Sheppard 30' 3PT Jump Shot,false,false,"[203500, 1630256, 1631106, 1641715]"
2,197,1106.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis REBOUND (Off:2 Def:8),false,false,"[202691, 1629023, 1629655, 1631108]"
2,198,1122.0,1610612742,DAL,missing_sub_in,203915,Spencer Dinwiddie,,Dinwiddie 3PT Jump Shot (6 PTS) (Davis 4 AST),false,false,"[202691, 1629023, 1629655, 1631108]"
2,199,1142.0,1610612745,HOU,missing_sub_in,1642263,Reed Sheppard,,MISS Sheppard 13' Pullup Jump Shot,false,false,"[203500, 1630256, 1631106, 1641715]"
2,200,1144.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis REBOUND (Off:2 Def:9),false,false,"[202691, 1629023, 1629655, 1631108]"
2,201,1151.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis Alley Oop Dunk (18 PTS) (Irving 1 AST),false,false,"[202691, 1629023, 1629655, 1631108]"
2,203,1153.0,1610612742,DAL,sub_direction_inverted,1629023,P.J. Washington,,SUB: Marshall FOR Washington,false,true,"[202691, 1629023, 1629655, 1631108]"
2,204,1153.0,1610612742,DAL,sub_direction_inverted,202691,Klay Thompson,,SUB: Exum FOR Thompson,false,true,"[202691, 1629023, 1629655, 1631108]"
2,205,1153.0,1610612745,HOU,sub_direction_inverted,1642263,Reed Sheppard,,SUB: Eason FOR Sheppard,false,true,"[203500, 1630256, 1641715, 1642263]"
2,206,1169.0,1610612742,DAL,possible_missing_sub_out,202691,Klay Thompson,124.0,MISS Brooks 27' 3PT Jump Shot,false,false,"[202691, 1629023, 1629655, 1631108]"
2,206,1169.0,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,MISS Brooks 27' 3PT Jump Shot,false,false,"[203500, 1630256, 1641715, 1642263]"
2,207,1171.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,Davis REBOUND (Off:2 Def:10),false,false,"[202691, 1629023, 1629655, 1631108]"
2,208,1181.0,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,Brooks S.FOUL (P2.T3) (J.Schroeder),false,false,"[203500, 1630256, 1641715, 1642263]"
2,212,1197.0,1610612742,DAL,possible_missing_sub_out,1629023,P.J. Washington,122.0,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),false,false,"[202691, 1629023, 1629655, 1631108]"
2,212,1197.0,1610612745,HOU,missing_sub_in,1631106,Tari Eason,,Eason 21' Pullup Jump Shot (4 PTS) (Sengun 2 AST),false,false,"[203500, 1630256, 1641715, 1642263]"
2,213,1219.0,1610612742,DAL,missing_sub_in,203076,Anthony Davis,,MISS Davis 1' Alley Oop Layup,false,false,"[202691, 1629023, 1629655, 1631108]"
2,214,1221.0,1610612745,HOU,missing_sub_in,1630578,Alperen Sengun,,Sengun REBOUND (Off:1 Def:3),false,false,"[203500, 1630256, 1641715, 1642263]"
2,215,1225.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,Ja. Green 2' Running Layup (10 PTS),false,false,"[203500, 1630256, 1641715, 1642263]"
2,216,1238.0,1610612742,DAL,missing_sub_in,203957,Dante Exum,,MISS Exum 3PT Jump Shot,false,false,"[202691, 1629023, 1629655, 1631108]"
2,217,1241.0,1610612745,HOU,missing_sub_in,1630224,Jalen Green,,Ja. Green REBOUND (Off:0 Def:1),false,false,"[203500, 1630256, 1641715, 1642263]"
