flag_type,time,player_id,player_name,team,action_type,idle_seconds,description,resolution,full_details
lineup_violations,962.0,,,DAL,,,"","","{'time': 962.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,962.0,1629023.0,P.J. Washington,DAL,,,"","","{'time': 962.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'action': 'Washington S.FOUL (P1.PN) (J.Schroeder)'}"
auto_out_events,962.0,203957.0,Dante Exum,DAL,,,"","","{'time': 962.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_time': 257.79999999999995, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,1018.0,202681.0,Kyrie Irving,DAL,,151.0,"","","{'time': 1018.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_seconds': 151.0, 'last_action_time': 867.0}"
inactivity_periods,1153.0,1641708.0,Amen Thompson,HOU,,221.0,"","","{'time': 1153.0, 'player_id': 1641708, 'player_name': 'Amen Thompson', 'team': 'HOU', 'idle_seconds': 221.0, 'last_action_time': 932.0}"
inactivity_periods,1153.0,1630224.0,Jalen Green,HOU,,135.0,"","","{'time': 1153.0, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_seconds': 135.0, 'last_action_time': 1018.0}"
inactivity_periods,1153.0,1630578.0,Alperen Sengun,HOU,,235.0,"","","{'time': 1153.0, 'player_id': 1630578, 'player_name': 'Alperen Sengun', 'team': 'HOU', 'idle_seconds': 235.0, 'last_action_time': 918.0}"
inactivity_periods,1153.0,1628415.0,Dillon Brooks,HOU,,191.0,"","","{'time': 1153.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 191.0, 'last_action_time': 962.0}"
inactivity_periods,1266.0,203915.0,Spencer Dinwiddie,DAL,,144.0,"","","{'time': 1266.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'idle_seconds': 144.0, 'last_action_time': 1122.0}"
inactivity_periods,1266.0,1641708.0,Amen Thompson,HOU,,334.0,"","","{'time': 1266.0, 'player_id': 1641708, 'player_name': 'Amen Thompson', 'team': 'HOU', 'idle_seconds': 334.0, 'last_action_time': 932.0}"
inactivity_periods,1403.9,1630230.0,Naji Marshall,DAL,,250.9000000000001,"","","{'time': 1403.9, 'player_id': 1630230, 'player_name': 'Naji Marshall', 'team': 'DAL', 'idle_seconds': 250.9000000000001, 'last_action_time': 1153.0}"
inactivity_periods,1403.9,202681.0,Kyrie Irving,DAL,,138.9000000000001,"","","{'time': 1403.9, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_seconds': 138.9000000000001, 'last_action_time': 1265.0}"
inactivity_periods,1403.9,1631106.0,Tari Eason,HOU,,206.9000000000001,"","","{'time': 1403.9, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_seconds': 206.9000000000001, 'last_action_time': 1197.0}"
inactivity_periods,1403.9,1628415.0,Dillon Brooks,HOU,,222.9000000000001,"","","{'time': 1403.9, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 222.9000000000001, 'last_action_time': 1181.0}"
missing_sub_ins,1479.0,203500.0,Steven Adams,HOU,4.0,,Adams REBOUND (Off:3 Def:2),FIRST_ACTION_INJECTION,"{'time': 1479.0, 'player_id': 203500, 'player_name': 'Steven Adams', 'team': 'HOU', 'action_type': 4, 'description': 'Adams REBOUND (Off:3 Def:2)', 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,1479.0,,,HOU,,,"","","{'time': 1479.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,1479.0,203500.0,Steven Adams,HOU,,,"","","{'time': 1479.0, 'player_id': 203500, 'player_name': 'Steven Adams', 'team': 'HOU', 'action': 'Adams REBOUND (Off:3 Def:2)'}"
auto_out_events,1479.0,1628415.0,Dillon Brooks,HOU,,,"","","{'time': 1479.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_time': 298.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,1538.0,1631108.0,Max Christie,DAL,1.0,,Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST),FIRST_ACTION_INJECTION,"{'time': 1538.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'action_type': 1, 'description': ""Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,1538.0,,,DAL,,,"","","{'time': 1538.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,1538.0,1631108.0,Max Christie,DAL,,,"","","{'time': 1538.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'action': ""Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)""}"
auto_out_events,1538.0,202681.0,Kyrie Irving,DAL,,,"","","{'time': 1538.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_time': 273.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,1551.0,203076.0,Anthony Davis,DAL,,160.70000000000005,"","","{'time': 1551.0, 'player_id': 203076, 'player_name': 'Anthony Davis', 'team': 'DAL', 'idle_seconds': 160.70000000000005, 'last_action_time': 1390.3}"
inactivity_periods,1551.0,1629023.0,P.J. Washington,DAL,,181.0,"","","{'time': 1551.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'idle_seconds': 181.0, 'last_action_time': 1370.0}"
inactivity_periods,1551.0,1630224.0,Jalen Green,HOU,,215.0,"","","{'time': 1551.0, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_seconds': 215.0, 'last_action_time': 1336.0}"
missing_sub_ins,1606.0,1628415.0,Dillon Brooks,HOU,2.0,,MISS Brooks 9' Driving Floating Jump Shot,FIRST_ACTION_INJECTION,"{'time': 1606.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'action_type': 2, 'description': ""MISS Brooks 9' Driving Floating Jump Shot"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,1606.0,,,HOU,,,"","","{'time': 1606.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,1606.0,1628415.0,Dillon Brooks,HOU,,,"","","{'time': 1606.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'action': ""MISS Brooks 9' Driving Floating Jump Shot""}"
auto_out_events,1606.0,1631106.0,Tari Eason,HOU,,,"","","{'time': 1606.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_time': 166.20000000000005, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,1670.0,1629023.0,P.J. Washington,DAL,,300.0,"","","{'time': 1670.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'idle_seconds': 300.0, 'last_action_time': 1370.0}"
missing_sub_ins,1761.0,202681.0,Kyrie Irving,DAL,2.0,,MISS Irving 3' Driving Finger Roll Layup,FIRST_ACTION_INJECTION,"{'time': 1761.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'action_type': 2, 'description': ""MISS Irving 3' Driving Finger Roll Layup"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,1761.0,,,DAL,,,"","","{'time': 1761.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,1761.0,202681.0,Kyrie Irving,DAL,,,"","","{'time': 1761.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'action': ""MISS Irving 3' Driving Finger Roll Layup""}"
auto_out_events,1761.0,1629023.0,P.J. Washington,DAL,,,"","","{'time': 1761.0, 'player_id': 1629023, 'player_name': 'P.J. Washington', 'team': 'DAL', 'idle_time': 391.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,1819.0,203076.0,Anthony Davis,DAL,,130.0,"","","{'time': 1819.0, 'player_id': 203076, 'player_name': 'Anthony Davis', 'team': 'DAL', 'idle_seconds': 130.0, 'last_action_time': 1689.0}"
inactivity_periods,1819.0,1631108.0,Max Christie,DAL,,168.0,"","","{'time': 1819.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'idle_seconds': 168.0, 'last_action_time': 1651.0}"
inactivity_periods,1959.0,203957.0,Dante Exum,DAL,,258.0,"","","{'time': 1959.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 258.0, 'last_action_time': 1701.0}"
inactivity_periods,1959.0,203915.0,Spencer Dinwiddie,DAL,,140.0,"","","{'time': 1959.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'idle_seconds': 140.0, 'last_action_time': 1819.0}"
inactivity_periods,1959.0,1630224.0,Jalen Green,HOU,,193.0,"","","{'time': 1959.0, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_seconds': 193.0, 'last_action_time': 1766.0}"
inactivity_periods,2063.0,1630230.0,Naji Marshall,DAL,,131.0,"","","{'time': 2063.0, 'player_id': 1630230, 'player_name': 'Naji Marshall', 'team': 'DAL', 'idle_seconds': 131.0, 'last_action_time': 1932.0}"
inactivity_periods,2063.0,203957.0,Dante Exum,DAL,,362.0,"","","{'time': 2063.0, 'player_id': 203957, 'player_name': 'Dante Exum', 'team': 'DAL', 'idle_seconds': 362.0, 'last_action_time': 1701.0}"
inactivity_periods,2063.0,1631106.0,Tari Eason,HOU,,148.0,"","","{'time': 2063.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_seconds': 148.0, 'last_action_time': 1915.0}"
inactivity_periods,2063.0,1628415.0,Dillon Brooks,HOU,,174.0,"","","{'time': 2063.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 174.0, 'last_action_time': 1889.0}"
missing_sub_ins,2206.0,203500.0,Steven Adams,HOU,4.0,,Adams REBOUND (Off:7 Def:3),FIRST_ACTION_INJECTION,"{'time': 2206.0, 'player_id': 203500, 'player_name': 'Steven Adams', 'team': 'HOU', 'action_type': 4, 'description': 'Adams REBOUND (Off:7 Def:3)', 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,2206.0,,,HOU,,,"","","{'time': 2206.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,2206.0,203500.0,Steven Adams,HOU,,,"","","{'time': 2206.0, 'player_id': 203500, 'player_name': 'Steven Adams', 'team': 'HOU', 'action': 'Adams REBOUND (Off:7 Def:3)'}"
auto_out_events,2206.0,1630224.0,Jalen Green,HOU,,,"","","{'time': 2206.0, 'player_id': 1630224, 'player_name': 'Jalen Green', 'team': 'HOU', 'idle_time': 201.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,2208.0,1629655.0,Daniel Gafford,DAL,,145.0,"","","{'time': 2208.0, 'player_id': 1629655, 'player_name': 'Daniel Gafford', 'team': 'DAL', 'idle_seconds': 145.0, 'last_action_time': 2063.0}"
inactivity_periods,2208.0,203915.0,Spencer Dinwiddie,DAL,,157.0,"","","{'time': 2208.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'idle_seconds': 157.0, 'last_action_time': 2051.0}"
inactivity_periods,2208.0,1630578.0,Alperen Sengun,HOU,,184.0,"","","{'time': 2208.0, 'player_id': 1630578, 'player_name': 'Alperen Sengun', 'team': 'HOU', 'idle_seconds': 184.0, 'last_action_time': 2024.0}"
missing_sub_ins,2234.0,202691.0,Klay Thompson,DAL,4.0,,Thompson REBOUND (Off:0 Def:4),FIRST_ACTION_INJECTION,"{'time': 2234.0, 'player_id': 202691, 'player_name': 'Klay Thompson', 'team': 'DAL', 'action_type': 4, 'description': 'Thompson REBOUND (Off:0 Def:4)', 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,2234.0,,,DAL,,,"","","{'time': 2234.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,2234.0,202691.0,Klay Thompson,DAL,,,"","","{'time': 2234.0, 'player_id': 202691, 'player_name': 'Klay Thompson', 'team': 'DAL', 'action': 'Thompson REBOUND (Off:0 Def:4)'}"
auto_out_events,2234.0,203915.0,Spencer Dinwiddie,DAL,,,"","","{'time': 2234.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'idle_time': 183.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,2269.0,1641708.0,Amen Thompson,HOU,2.0,,MISS Thompson 3' Driving Finger Roll Layup,FIRST_ACTION_INJECTION,"{'time': 2269.0, 'player_id': 1641708, 'player_name': 'Amen Thompson', 'team': 'HOU', 'action_type': 2, 'description': ""MISS Thompson 3' Driving Finger Roll Layup"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,2269.0,,,HOU,,,"","","{'time': 2269.0, 'team': 'HOU', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,2269.0,1641708.0,Amen Thompson,HOU,,,"","","{'time': 2269.0, 'player_id': 1641708, 'player_name': 'Amen Thompson', 'team': 'HOU', 'action': ""MISS Thompson 3' Driving Finger Roll Layup""}"
auto_out_events,2269.0,1630578.0,Alperen Sengun,HOU,,,"","","{'time': 2269.0, 'player_id': 1630578, 'player_name': 'Alperen Sengun', 'team': 'HOU', 'idle_time': 245.0, 'reason': 'INACTIVITY_AUTO_OUT'}"
missing_sub_ins,2301.0,203915.0,Spencer Dinwiddie,DAL,2.0,,MISS Dinwiddie 7' Driving Finger Roll Layup,FIRST_ACTION_INJECTION,"{'time': 2301.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'action_type': 2, 'description': ""MISS Dinwiddie 7' Driving Finger Roll Layup"", 'resolution': 'FIRST_ACTION_INJECTION'}"
lineup_violations,2301.0,,,DAL,,,"","","{'time': 2301.0, 'team': 'DAL', 'correction_type': 'AUTO_CORRECTION', 'final_size': 5}"
first_action_events,2301.0,203915.0,Spencer Dinwiddie,DAL,,,"","","{'time': 2301.0, 'player_id': 203915, 'player_name': 'Spencer Dinwiddie', 'team': 'DAL', 'action': ""MISS Dinwiddie 7' Driving Finger Roll Layup""}"
auto_out_events,2301.0,1630230.0,Naji Marshall,DAL,,,"","","{'time': 2301.0, 'player_id': 1630230, 'player_name': 'Naji Marshall', 'team': 'DAL', 'idle_time': 177.30000000000018, 'reason': 'INACTIVITY_AUTO_OUT'}"
inactivity_periods,2327.0,1631108.0,Max Christie,DAL,,232.0,"","","{'time': 2327.0, 'player_id': 1631108, 'player_name': 'Max Christie', 'team': 'DAL', 'idle_seconds': 232.0, 'last_action_time': 2095.0}"
inactivity_periods,2327.0,1631106.0,Tari Eason,HOU,,125.0,"","","{'time': 2327.0, 'player_id': 1631106, 'player_name': 'Tari Eason', 'team': 'HOU', 'idle_seconds': 125.0, 'last_action_time': 2202.0}"
inactivity_periods,2515.0,202681.0,Kyrie Irving,DAL,,135.0,"","","{'time': 2515.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_seconds': 135.0, 'last_action_time': 2380.0}"
inactivity_periods,2515.0,1628415.0,Dillon Brooks,HOU,,121.0,"","","{'time': 2515.0, 'player_id': 1628415, 'player_name': 'Dillon Brooks', 'team': 'HOU', 'idle_seconds': 121.0, 'last_action_time': 2394.0}"
inactivity_periods,2673.0,202681.0,Kyrie Irving,DAL,,293.0,"","","{'time': 2673.0, 'player_id': 202681, 'player_name': 'Kyrie Irving', 'team': 'DAL', 'idle_seconds': 293.0, 'last_action_time': 2380.0}"
inactivity_periods,2756.0,1630578.0,Alperen Sengun,HOU,,180.0,"","","{'time': 2756.0, 'player_id': 1630578, 'player_name': 'Alperen Sengun', 'team': 'HOU', 'idle_seconds': 180.0, 'last_action_time': 2576.0}"
inactivity_periods,2813.0,1630230.0,Naji Marshall,DAL,,123.0,"","","{'time': 2813.0, 'player_id': 1630230, 'player_name': 'Naji Marshall', 'team': 'DAL', 'idle_seconds': 123.0, 'last_action_time': 2690.0}"
inactivity_periods,2813.0,1629655.0,Daniel Gafford,DAL,,121.0,"","","{'time': 2813.0, 'player_id': 1629655, 'player_name': 'Daniel Gafford', 'team': 'DAL', 'idle_seconds': 121.0, 'last_action_time': 2692.0}"
