gameId,nbaGameId,date,season,seasonType,nbaTeamId,team,opponent,offTeamId,defTeamId,pbpId,period,gameClock,wallClock,wallClockInt,description,msgType,actionType,option1,option2,option3,option4,homeScore,awayScore,playerId1,playerId2,playerId3,locX,locY,pts,pbpOrder,lastName1,statCategory1,lastName2,statCategory2,lastName3
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,82,1,4:45,2025-02-08 20:24:53Z,410930,Dinwiddie OFF.Foul (P1) (J.Schroeder),6,4,0,0,0,0,21,15,203915,1630578,1628954,-93,180,0,57,Dinwiddie,PF,Sengun,NA,Schroeder
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,84,1,4:45,2025-02-08 20:24:53Z,410930,Dinwiddie Offensive Foul Turnover (P1.T1),5,37,0,0,0,0,21,15,203915,NA,1628954,-93,180,0,58,Dinwiddie,TO,NA,NA,Schroeder
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,85,1,4:45,2025-02-08 20:25:00Z,411000,SUB: Marshall FOR Washington,8,0,0,0,0,0,21,15,1629023,1630230,NA,0,-80,0,59,Washington,NA,Marshall,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,87,1,4:37,2025-02-08 20:25:20Z,411200,MISS Ja. Green 26' 3PT Jump Shot,2,1,3,0,0,2,21,15,1630224,NA,NA,-15,256,0,60,Green,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,88,1,4:34,2025-02-08 20:25:23Z,411230,Davis REBOUND (Off:1 Def:5),4,0,0,0,0,0,21,15,203076,NA,NA,-15,256,0,61,Davis,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,89,1,4:20,2025-02-08 20:25:37Z,411370,Marshall 1' Driving Layup (2 PTS),1,6,2,0,0,4,21,15,1630230,NA,NA,-12,3,2,62,Marshall,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,90,1,4:04,2025-02-08 20:25:52Z,411520,MISS Sengun 4' Driving Hook Shot,2,57,2,0,0,4,23,15,1630578,NA,NA,-16,42,0,63,Sengun,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,91,1,4:02,2025-02-08 20:25:54Z,411540,Sengun REBOUND (Off:1 Def:2),4,0,1,0,0,0,23,15,1630578,NA,NA,-16,42,0,64,Sengun,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,92,1,4:00,2025-02-08 20:25:55Z,411550,MISS Sengun 4' Putback Layup,2,72,2,0,0,1,23,15,1630578,NA,NA,-32,25,0,65,Sengun,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,94,1,4:00,2025-02-08 20:25:55Z,411550,Davis REBOUND (Off:1 Def:6),4,0,0,0,0,0,23,15,203076,NA,NA,-32,25,0,66,Davis,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,95,1,3:52,2025-02-08 20:26:04Z,411640,Marshall 4' Running Layup (4 PTS) (Exum 1 AST),1,41,2,1,0,4,23,15,1630230,203957,NA,4,35,2,67,Marshall,PTS,Exum,AST,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,97,1,3:44,2025-02-08 20:26:15Z,411750,Thompson OFF.Foul (P1) (J.Schroeder),6,4,0,0,0,0,25,15,1641708,203957,1628954,167,121,0,68,Thompson,PF,Exum,NA,Schroeder
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,99,1,3:44,2025-02-08 20:26:15Z,411750,Thompson Offensive Foul Turnover (P1.T2),5,37,0,0,0,0,25,15,1641708,NA,1628954,167,121,0,69,Thompson,TO,NA,NA,Schroeder
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,100,1,3:44,2025-02-08 20:26:21Z,411810,SUB: Brooks FOR Eason,8,0,0,0,0,0,25,15,1631106,1628415,NA,0,-80,0,70,Eason,NA,Brooks,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,101,1,3:44,2025-02-08 20:26:21Z,411810,SUB: Adams FOR Sengun,8,0,0,0,0,0,25,15,1630578,203500,NA,0,-80,0,71,Sengun,NA,Adams,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,104,1,3:28,2025-02-08 20:26:53Z,412130,Whitmore S.FOUL (P1.T2) (B.Forte),6,2,0,0,2,0,25,15,1641715,203076,101283,83,199,0,72,Whitmore,PF,Davis,NA,Forte
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,106,1,3:28,2025-02-08 20:27:28Z,412480,MISS Davis Free Throw 1 of 2,3,11,2,0,0,2,26,15,203076,NA,NA,0,-80,0,73,Davis,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,107,1,3:28,2025-02-08 20:27:28Z,412480,MAVERICKS Rebound,4,1,1,0,0,0,26,15,NA,NA,NA,0,-80,0,74,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,108,1,3:28,2025-02-08 20:27:28Z,412480,Davis Free Throw 2 of 2 (12 PTS),3,12,1,0,1,2,25,15,203076,NA,NA,0,-80,1,75,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,109,1,3:05,2025-02-08 20:28:13Z,412930,Ja. Green 10' Fadeaway Jumper (8 PTS),1,63,2,0,0,4,26,15,1630224,NA,NA,-28,92,2,76,Green,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,110,1,2:46,2025-02-08 20:28:32Z,413120,Davis 7' Turnaround Hook Shot (14 PTS),1,58,2,0,0,4,26,17,203076,NA,NA,21,63,2,77,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,111,1,2:35,2025-02-08 20:28:43Z,413230,Thompson Lost Ball Turnover (P2.T3),5,2,1,0,0,0,28,17,1641708,1630230,NA,34,43,0,78,Thompson,TO,Marshall,ST,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,113,1,2:30,2025-02-08 20:28:48Z,413280,Christie 3PT Running Jump Shot (3 PTS) (Exum 2 AST),1,2,3,1,0,2,28,17,1631108,203957,NA,-224,-11,3,79,Christie,PTS,Exum,AST,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,115,1,2:29,2025-02-08 20:28:54Z,413340,Rockets Timeout: Regular (Reg.2 Short 0),9,1,0,0,0,0,31,17,NA,NA,NA,0,-80,0,80,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,116,1,2:29,2025-02-08 20:31:31Z,414910,SUB: Tate FOR Thompson,8,0,0,0,0,0,31,17,1641708,1630256,NA,0,-80,0,81,Thompson,NA,Tate,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,118,1,2:12,2025-02-08 20:32:14Z,415340,MISS Tate 3PT Jump Shot,2,1,3,0,0,0,31,17,1630256,NA,NA,-230,11,0,82,Tate,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,119,1,2:10,2025-02-08 20:32:16Z,415360,MAVERICKS Rebound,4,0,0,0,0,0,31,17,NA,NA,NA,-230,11,0,83,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,NA,NA,NA,1610612742,1610612745,120,1,2:10,2025-02-08 20:32:21Z,415410,NA,20,3,0,0,0,0,31,17,NA,NA,NA,0,-80,0,84,NA,NA,NA,NA,NA
